,DMA_code,Date,TV GRP
73,543,2022-05-30,137.91
74,543,2022-06-06,283.34
75,543,2022-06-13,261.0
76,543,2022-06-20,412.44
77,543,2022-06-27,268.01
78,543,2022-07-04,293.53
79,543,2022-07-11,288.57
80,543,2022-07-18,416.65
81,543,2022-07-25,369.05
82,543,2022-08-01,270.72
83,543,2022-08-08,128.62
84,543,2022-08-15,433.65
85,543,2022-08-22,497.18
86,543,2022-08-29,397.45
87,543,2022-09-05,273.11
88,543,2022-09-12,257.43
89,543,2022-09-19,339.08
90,543,2022-09-26,185.48
91,543,2022-10-03,162.65
92,543,2022-10-10,145.02
93,543,2022-10-17,487.6
94,543,2022-10-24,363.98
95,543,2022-10-31,322.2
96,543,2022-11-07,453.08
97,543,2022-11-14,231.56
98,543,2022-11-21,303.94
99,543,2022-11-28,156.3
100,543,2022-12-05,342.52
101,543,2022-12-12,459.33
102,543,2022-12-19,398.74
103,543,2022-12-26,329.2
104,543,2023-01-02,308.2
105,543,2023-01-09,340.72
106,543,2023-01-16,351.48
107,543,2023-01-23,345.02
108,543,2023-01-30,286.77
109,543,2023-02-06,350.34
110,543,2023-02-13,308.35
111,543,2023-02-20,268.9
112,543,2023-02-27,308.75
113,543,2023-03-06,428.12
114,543,2023-03-13,462.95
115,543,2023-03-20,355.45
116,543,2023-03-27,444.7
117,543,2023-04-03,101.78
118,543,2023-04-10,476.25
119,543,2023-04-17,103.22
120,543,2023-04-24,474.01
121,543,2023-05-01,171.87
122,543,2023-05-08,137.29
123,543,2023-05-15,454.14
124,543,2023-05-22,106.65
125,543,2023-05-29,430.9
126,543,2023-06-05,181.03
127,543,2023-06-12,259.75
128,543,2023-06-19,103.32
129,543,2023-06-26,488.61
130,543,2023-07-03,277.12
131,543,2023-07-10,273.42
132,543,2023-07-17,109.28
133,543,2023-07-24,174.42
134,543,2023-07-31,178.06
135,543,2023-08-07,104.38
136,543,2023-08-14,168.13
137,543,2023-08-21,475.91
138,543,2023-08-28,333.1
139,543,2023-09-04,107.07
140,543,2023-09-11,186.09
141,543,2023-09-18,265.64
142,543,2023-09-25,168.64
143,543,2023-10-02,162.86
144,543,2023-10-09,483.45
145,543,2023-10-16,497.04
146,543,2023-10-23,349.38
147,543,2023-10-30,446.69
148,543,2023-11-06,274.1
149,543,2023-11-13,102.39
150,543,2023-11-20,333.4
151,543,2023-11-27,166.43
152,543,2023-12-04,330.52
153,543,2023-12-11,456.76
154,543,2023-12-18,399.94
155,543,2023-12-25,203.4
156,506,2021-01-04,423.8
157,506,2021-01-11,384.55
158,506,2021-01-18,474.09
159,506,2021-01-25,348.43
160,506,2021-02-01,492.33
161,506,2021-02-08,311.1
162,506,2021-02-15,310.06
163,506,2021-02-22,107.59
164,506,2021-03-01,474.6
165,506,2021-03-08,272.38
166,506,2021-03-15,447.32
167,506,2021-03-22,254.31
168,506,2021-03-29,470.94
169,506,2021-04-05,479.69
170,506,2021-04-12,108.38
171,506,2021-04-19,383.62
172,506,2021-04-26,112.84
173,506,2021-05-03,139.36
174,506,2021-05-10,116.18
175,506,2021-05-17,112.13
176,506,2021-05-24,264.55
177,506,2021-05-31,280.88
178,506,2021-06-07,287.55
179,506,2021-06-14,162.29
180,506,2021-06-21,207.16
181,506,2021-06-28,401.42
182,506,2021-07-05,239.95
183,506,2021-07-12,204.21
184,506,2021-07-19,235.23
185,506,2021-07-26,457.92
186,506,2021-08-02,456.45
187,506,2021-08-09,275.13
188,506,2021-08-16,443.29
189,506,2021-08-23,246.82
190,506,2021-08-30,131.27
191,506,2021-09-06,281.43
192,506,2021-09-13,462.02
193,506,2021-09-20,127.39
194,506,2021-09-27,199.32
195,506,2021-10-04,120.11
196,506,2021-10-11,403.91
197,506,2021-10-18,424.47
198,506,2021-10-25,457.21
199,506,2021-11-01,132.36
200,506,2021-11-08,361.05
201,506,2021-11-15,310.82
202,506,2021-11-22,203.46
203,506,2021-11-29,371.29
204,506,2021-12-06,106.84
205,506,2021-12-13,150.29
206,506,2021-12-20,465.17
207,506,2021-12-27,355.47
208,506,2022-01-03,143.22
209,506,2022-01-10,362.78
210,506,2022-01-17,202.65
211,506,2022-01-24,234.79
212,506,2022-01-31,143.69
213,506,2022-02-07,390.88
214,506,2022-02-14,215.68
215,506,2022-02-21,162.14
216,506,2022-02-28,491.01
217,506,2022-03-07,167.64
218,506,2022-03-14,349.66
219,506,2022-03-21,151.72
220,506,2022-03-28,482.81
221,506,2022-04-04,283.23
222,506,2022-04-11,342.39
223,506,2022-04-18,122.18
224,506,2022-04-25,478.21
225,506,2022-05-02,365.35
226,506,2022-05-09,156.53
227,506,2022-05-16,310.54
228,506,2022-05-23,433.58
229,506,2022-05-30,399.59
230,506,2022-06-06,466.56
231,506,2022-06-13,479.47
232,506,2022-06-20,113.01
233,506,2022-06-27,355.67
234,506,2022-07-04,122.71
235,506,2022-07-11,102.17
236,506,2022-07-18,132.47
237,506,2022-07-25,496.53
238,506,2022-08-01,100.52
239,506,2022-08-08,363.88
240,506,2022-08-15,345.25
241,506,2022-08-22,415.78
242,506,2022-08-29,368.52
243,506,2022-09-05,476.17
244,506,2022-09-12,441.74
245,506,2022-09-19,212.52
246,506,2022-09-26,450.75
247,506,2022-10-03,211.69
248,506,2022-10-10,363.67
249,506,2022-10-17,198.16
250,506,2022-10-24,475.31
251,506,2022-10-31,382.16
252,506,2022-11-07,291.84
253,506,2022-11-14,421.08
254,506,2022-11-21,110.86
255,506,2022-11-28,354.34
256,506,2022-12-05,112.5
257,506,2022-12-12,191.21
258,506,2022-12-19,225.0
259,506,2022-12-26,400.25
260,506,2023-01-02,467.4
261,506,2023-01-09,247.51
262,506,2023-01-16,347.21
263,506,2023-01-23,410.95
264,506,2023-01-30,438.34
265,506,2023-02-06,485.1
266,506,2023-02-13,412.95
267,506,2023-02-20,113.0
268,506,2023-02-27,140.79
269,506,2023-03-06,433.53
270,506,2023-03-13,211.87
271,506,2023-03-20,133.0
272,506,2023-03-27,483.06
273,506,2023-04-03,252.03
274,506,2023-04-10,246.52
275,506,2023-04-17,146.15
276,506,2023-04-24,430.21
277,506,2023-05-01,280.69
278,506,2023-05-08,221.0
279,506,2023-05-15,430.94
280,506,2023-05-22,441.53
281,506,2023-05-29,385.57
282,506,2023-06-05,270.08
283,506,2023-06-12,219.81
284,506,2023-06-19,305.96
285,506,2023-06-26,323.24
286,506,2023-07-03,326.74
287,506,2023-07-10,398.97
288,506,2023-07-17,123.95
289,506,2023-07-24,359.39
290,506,2023-07-31,447.48
291,506,2023-08-07,152.54
292,506,2023-08-14,321.53
293,506,2023-08-21,375.26
294,506,2023-08-28,484.34
295,506,2023-09-04,138.5
296,506,2023-09-11,390.77
297,506,2023-09-18,333.16
298,506,2023-09-25,236.6
299,506,2023-10-02,120.28
300,506,2023-10-09,231.73
301,506,2023-10-16,430.5
302,506,2023-10-23,353.89
303,506,2023-10-30,191.3
304,506,2023-11-06,497.19
305,506,2023-11-13,398.4
306,506,2023-11-20,175.55
307,506,2023-11-27,412.47
308,506,2023-12-04,432.48
309,506,2023-12-11,448.26
310,506,2023-12-18,395.84
311,506,2023-12-25,132.14
312,532,2021-01-04,425.48
313,532,2021-01-11,471.08
314,532,2021-01-18,299.87
315,532,2021-01-25,404.44
316,532,2021-02-01,301.71
317,532,2021-02-08,356.29
318,532,2021-02-15,358.79
319,532,2021-02-22,281.1
320,532,2021-03-01,241.88
321,532,2021-03-08,274.36
322,532,2021-03-15,332.43
323,532,2021-03-22,310.85
324,532,2021-03-29,356.76
325,532,2021-04-05,118.5
326,532,2021-04-12,284.01
327,532,2021-04-19,128.21
328,532,2021-04-26,402.11
329,532,2021-05-03,207.13
330,532,2021-05-10,238.33
331,532,2021-05-17,361.67
332,532,2021-05-24,238.65
333,532,2021-05-31,391.89
334,532,2021-06-07,444.75
335,532,2021-06-14,354.75
336,532,2021-06-21,162.52
337,532,2021-06-28,279.83
338,532,2021-07-05,393.03
339,532,2021-07-12,208.96
340,532,2021-07-19,479.42
341,532,2021-07-26,477.37
342,532,2021-08-02,235.37
343,532,2021-08-09,345.58
344,532,2021-08-16,255.32
345,532,2021-08-23,390.41
346,532,2021-08-30,417.22
347,532,2021-09-06,166.65
348,532,2021-09-13,308.22
349,532,2021-09-20,238.46
350,532,2021-09-27,470.1
351,532,2021-10-04,178.75
352,532,2021-10-11,478.6
353,532,2021-10-18,267.71
354,532,2021-10-25,449.41
355,532,2021-11-01,285.72
356,532,2021-11-08,345.53
357,532,2021-11-15,495.24
358,532,2021-11-22,392.66
359,532,2021-11-29,177.92
360,532,2021-12-06,205.32
361,532,2021-12-13,285.24
362,532,2021-12-20,334.41
363,532,2021-12-27,124.43
364,532,2022-01-03,117.41
365,532,2022-01-10,282.96
366,532,2022-01-17,309.41
367,532,2022-01-24,131.91
368,532,2022-01-31,290.19
369,532,2022-02-07,412.22
370,532,2022-02-14,319.64
371,532,2022-02-21,291.1
372,532,2022-02-28,128.58
373,532,2022-03-07,492.22
374,532,2022-03-14,316.48
375,532,2022-03-21,279.78
376,532,2022-03-28,129.5
377,532,2022-04-04,394.66
378,532,2022-04-11,210.25
379,532,2022-04-18,132.1
380,532,2022-04-25,388.02
381,532,2022-05-02,292.28
382,532,2022-05-09,122.53
383,532,2022-05-16,439.88
384,532,2022-05-23,278.95
385,532,2022-05-30,157.58
386,532,2022-06-06,235.46
387,532,2022-06-13,111.5
388,532,2022-06-20,492.03
389,532,2022-06-27,399.92
390,532,2022-07-04,119.54
391,532,2022-07-11,196.12
392,532,2022-07-18,290.54
393,532,2022-07-25,386.81
394,532,2022-08-01,354.02
395,532,2022-08-08,276.49
396,532,2022-08-15,318.68
397,532,2022-08-22,117.25
398,532,2022-08-29,499.58
399,532,2022-09-05,446.82
400,532,2022-09-12,229.12
401,532,2022-09-19,143.1
402,532,2022-09-26,351.41
403,532,2022-10-03,466.59
404,532,2022-10-10,373.92
405,532,2022-10-17,127.24
406,532,2022-10-24,251.77
407,532,2022-10-31,387.42
408,532,2022-11-07,196.83
409,532,2022-11-14,357.15
410,532,2022-11-21,333.71
411,532,2022-11-28,138.51
412,532,2022-12-05,394.92
413,532,2022-12-12,275.0
414,532,2022-12-19,164.33
415,532,2022-12-26,470.76
416,532,2023-01-02,398.16
417,532,2023-01-09,389.42
418,532,2023-01-16,278.79
419,532,2023-01-23,357.53
420,532,2023-01-30,356.29
421,532,2023-02-06,154.78
422,532,2023-02-13,451.95
423,532,2023-02-20,426.92
424,532,2023-02-27,154.94
425,532,2023-03-06,229.13
426,532,2023-03-13,127.61
427,532,2023-03-20,238.07
428,532,2023-03-27,391.94
429,532,2023-04-03,101.43
430,532,2023-04-10,302.71
431,532,2023-04-17,446.89
432,532,2023-04-24,224.5
433,532,2023-05-01,389.67
434,532,2023-05-08,121.86
435,532,2023-05-15,322.88
436,532,2023-05-22,450.77
437,532,2023-05-29,263.15
438,532,2023-06-05,349.13
439,532,2023-06-12,353.66
440,532,2023-06-19,392.77
441,532,2023-06-26,191.37
442,532,2023-07-03,399.16
443,532,2023-07-10,195.03
444,532,2023-07-17,339.17
445,532,2023-07-24,164.04
446,532,2023-07-31,394.5
447,532,2023-08-07,214.94
448,532,2023-08-14,360.56
449,532,2023-08-21,162.47
450,532,2023-08-28,192.44
451,532,2023-09-04,426.89
452,532,2023-09-11,137.22
453,532,2023-09-18,139.06
454,532,2023-09-25,409.6
455,532,2023-10-02,149.33
456,532,2023-10-09,458.0
457,532,2023-10-16,155.7
458,532,2023-10-23,372.61
459,532,2023-10-30,339.4
460,532,2023-11-06,391.16
461,532,2023-11-13,378.02
462,532,2023-11-20,246.24
463,532,2023-11-27,478.46
464,532,2023-12-04,303.34
465,532,2023-12-11,488.75
466,532,2023-12-18,252.41
467,532,2023-12-25,310.9
468,521,2021-01-04,333.65
469,521,2021-01-11,325.3
470,521,2021-01-18,364.69
471,521,2021-01-25,214.53
472,521,2021-02-01,125.98
473,521,2021-02-08,179.38
474,521,2021-02-15,324.09
475,521,2021-02-22,443.07
476,521,2021-03-01,290.02
477,521,2021-03-08,228.46
478,521,2021-03-15,392.5
479,521,2021-03-22,258.11
480,521,2021-03-29,428.8
481,521,2021-04-05,104.75
482,521,2021-04-12,146.43
483,521,2021-04-19,141.04
484,521,2021-04-26,113.98
485,521,2021-05-03,167.23
486,521,2021-05-10,494.81
487,521,2021-05-17,292.61
488,521,2021-05-24,268.91
489,521,2021-05-31,464.08
490,521,2021-06-07,417.98
491,521,2021-06-14,208.87
492,521,2021-06-21,421.76
493,521,2021-06-28,133.07
494,521,2021-07-05,386.33
495,521,2021-07-12,107.37
496,521,2021-07-19,184.08
497,521,2021-07-26,454.98
498,521,2021-08-02,249.38
499,521,2021-08-09,287.95
500,521,2021-08-16,358.76
501,521,2021-08-23,377.56
502,521,2021-08-30,158.22
503,521,2021-09-06,471.09
504,521,2021-09-13,327.29
505,521,2021-09-20,339.52
506,521,2021-09-27,356.3
507,521,2021-10-04,441.2
508,521,2021-10-11,184.13
509,521,2021-10-18,464.55
510,521,2021-10-25,412.31
511,521,2021-11-01,189.54
512,521,2021-11-08,419.52
513,521,2021-11-15,301.73
514,521,2021-11-22,330.23
515,521,2021-11-29,497.01
516,521,2021-12-06,105.26
517,521,2021-12-13,474.48
518,521,2021-12-20,390.2
519,521,2021-12-27,239.4
520,521,2022-01-03,391.7
521,521,2022-01-10,181.06
522,521,2022-01-17,305.37
523,521,2022-01-24,426.39
524,521,2022-01-31,183.77
525,521,2022-02-07,324.23
526,521,2022-02-14,116.97
527,521,2022-02-21,434.69
528,521,2022-02-28,240.14
529,521,2022-03-07,231.06
530,521,2022-03-14,202.49
531,521,2022-03-21,387.62
532,521,2022-03-28,169.69
533,521,2022-04-04,113.57
534,521,2022-04-11,211.36
535,521,2022-04-18,365.14
536,521,2022-04-25,120.09
537,521,2022-05-02,270.87
538,521,2022-05-09,422.68
539,521,2022-05-16,270.75
540,521,2022-05-23,320.98
541,521,2022-05-30,270.99
542,521,2022-06-06,169.59
543,521,2022-06-13,488.3
544,521,2022-06-20,176.14
545,521,2022-06-27,348.12
546,521,2022-07-04,209.06
547,521,2022-07-11,429.31
548,521,2022-07-18,417.58
549,521,2022-07-25,282.37
550,521,2022-08-01,175.82
551,521,2022-08-08,119.22
552,521,2022-08-15,290.68
553,521,2022-08-22,165.65
554,521,2022-08-29,479.69
555,521,2022-09-05,154.66
556,521,2022-09-12,194.26
557,521,2022-09-19,407.32
558,521,2022-09-26,272.46
559,521,2022-10-03,243.14
560,521,2022-10-10,245.09
561,521,2022-10-17,311.81
562,521,2022-10-24,314.04
563,521,2022-10-31,229.6
564,521,2022-11-07,377.65
565,521,2022-11-14,214.64
566,521,2022-11-21,195.92
567,521,2022-11-28,446.9
568,521,2022-12-05,144.73
569,521,2022-12-12,487.93
570,521,2022-12-19,326.32
571,521,2022-12-26,471.02
572,521,2023-01-02,492.82
573,521,2023-01-09,266.58
574,521,2023-01-16,177.27
575,521,2023-01-23,474.78
576,521,2023-01-30,439.92
577,521,2023-02-06,172.3
578,521,2023-02-13,160.62
579,521,2023-02-20,496.23
580,521,2023-02-27,331.29
581,521,2023-03-06,281.53
582,521,2023-03-13,349.74
583,521,2023-03-20,433.99
584,521,2023-03-27,105.8
585,521,2023-04-03,140.36
586,521,2023-04-10,373.34
587,521,2023-04-17,371.62
588,521,2023-04-24,494.13
589,521,2023-05-01,110.74
590,521,2023-05-08,131.65
591,521,2023-05-15,292.1
592,521,2023-05-22,363.3
593,521,2023-05-29,203.39
594,521,2023-06-05,202.49
595,521,2023-06-12,115.57
596,521,2023-06-19,118.53
597,521,2023-06-26,135.91
598,521,2023-07-03,127.67
599,521,2023-07-10,452.08
600,521,2023-07-17,262.88
601,521,2023-07-24,403.42
602,521,2023-07-31,150.91
603,521,2023-08-07,104.41
604,521,2023-08-14,499.3
605,521,2023-08-21,418.82
606,521,2023-08-28,433.04
607,521,2023-09-04,340.87
608,521,2023-09-11,178.95
609,521,2023-09-18,109.49
610,521,2023-09-25,398.71
611,521,2023-10-02,424.48
612,521,2023-10-09,292.42
613,521,2023-10-16,348.78
614,521,2023-10-23,491.42
615,521,2023-10-30,234.99
616,521,2023-11-06,439.99
617,521,2023-11-13,449.17
618,521,2023-11-20,133.35
619,521,2023-11-27,290.06
620,521,2023-12-04,331.81
621,521,2023-12-11,157.86
622,521,2023-12-18,264.5
623,521,2023-12-25,281.2
624,523,2021-01-04,211.1
625,523,2021-01-11,136.09
626,523,2021-01-18,239.41
627,523,2021-01-25,344.57
628,523,2021-02-01,248.59
629,523,2021-02-08,194.04
630,523,2021-02-15,179.35
631,523,2021-02-22,262.94
632,523,2021-03-01,487.24
633,523,2021-03-08,352.26
634,523,2021-03-15,142.23
635,523,2021-03-22,155.21
636,523,2021-03-29,338.16
637,523,2021-04-05,199.27
638,523,2021-04-12,433.11
639,523,2021-04-19,127.75
640,523,2021-04-26,194.5
641,523,2021-05-03,353.9
642,523,2021-05-10,362.66
643,523,2021-05-17,385.41
644,523,2021-05-24,446.73
645,523,2021-05-31,487.58
646,523,2021-06-07,180.36
647,523,2021-06-14,203.59
648,523,2021-06-21,257.75
649,523,2021-06-28,253.13
650,523,2021-07-05,241.37
651,523,2021-07-12,124.88
652,523,2021-07-19,445.1
653,523,2021-07-26,365.38
654,523,2021-08-02,414.92
655,523,2021-08-09,499.9
656,523,2021-08-16,295.78
657,523,2021-08-23,153.23
658,523,2021-08-30,433.22
659,523,2021-09-06,397.03
660,523,2021-09-13,407.27
661,523,2021-09-20,164.42
662,523,2021-09-27,401.85
663,523,2021-10-04,337.01
664,523,2021-10-11,120.24
665,523,2021-10-18,216.86
666,523,2021-10-25,188.12
667,523,2021-11-01,216.45
668,523,2021-11-08,179.92
669,523,2021-11-15,259.14
670,523,2021-11-22,186.8
671,523,2021-11-29,258.44
672,523,2021-12-06,106.64
673,523,2021-12-13,394.37
674,523,2021-12-20,238.82
675,523,2021-12-27,215.01
676,523,2022-01-03,443.56
677,523,2022-01-10,399.48
678,523,2022-01-17,445.24
679,523,2022-01-24,449.16
680,523,2022-01-31,391.86
681,523,2022-02-07,123.03
682,523,2022-02-14,138.26
683,523,2022-02-21,129.33
684,523,2022-02-28,199.18
685,523,2022-03-07,445.54
686,523,2022-03-14,115.32
687,523,2022-03-21,122.63
688,523,2022-03-28,147.04
689,523,2022-04-04,331.34
690,523,2022-04-11,227.66
691,523,2022-04-18,476.33
692,523,2022-04-25,154.13
693,523,2022-05-02,421.83
694,523,2022-05-09,357.94
695,523,2022-05-16,361.27
696,523,2022-05-23,240.71
697,523,2022-05-30,101.81
698,523,2022-06-06,246.61
699,523,2022-06-13,340.55
700,523,2022-06-20,394.94
701,523,2022-06-27,321.21
702,523,2022-07-04,492.43
703,523,2022-07-11,334.62
704,523,2022-07-18,133.23
705,523,2022-07-25,442.0
706,523,2022-08-01,361.12
707,523,2022-08-08,306.84
708,523,2022-08-15,411.65
709,523,2022-08-22,376.12
710,523,2022-08-29,479.53
711,523,2022-09-05,285.67
712,523,2022-09-12,384.29
713,523,2022-09-19,283.65
714,523,2022-09-26,211.22
715,523,2022-10-03,227.8
716,523,2022-10-10,336.81
717,523,2022-10-17,172.19
718,523,2022-10-24,302.16
719,523,2022-10-31,377.36
720,523,2022-11-07,314.58
721,523,2022-11-14,325.01
722,523,2022-11-21,185.01
723,523,2022-11-28,363.06
724,523,2022-12-05,338.97
725,523,2022-12-12,313.38
726,523,2022-12-19,378.44
727,523,2022-12-26,380.39
728,523,2023-01-02,376.81
729,523,2023-01-09,156.24
730,523,2023-01-16,335.6
731,523,2023-01-23,379.51
732,523,2023-01-30,343.35
733,523,2023-02-06,177.16
734,523,2023-02-13,109.54
735,523,2023-02-20,343.4
736,523,2023-02-27,188.18
737,523,2023-03-06,431.05
738,523,2023-03-13,474.15
739,523,2023-03-20,435.41
740,523,2023-03-27,168.2
741,523,2023-04-03,427.39
742,523,2023-04-10,171.41
743,523,2023-04-17,219.26
744,523,2023-04-24,431.29
745,523,2023-05-01,158.1
746,523,2023-05-08,175.13
747,523,2023-05-15,438.04
748,523,2023-05-22,494.86
749,523,2023-05-29,354.34
750,523,2023-06-05,346.94
751,523,2023-06-12,316.23
752,523,2023-06-19,197.83
753,523,2023-06-26,115.12
754,523,2023-07-03,280.12
755,523,2023-07-10,438.78
756,523,2023-07-17,455.42
757,523,2023-07-24,302.23
758,523,2023-07-31,475.87
759,523,2023-08-07,325.54
760,523,2023-08-14,403.79
761,523,2023-08-21,276.77
762,523,2023-08-28,132.85
763,523,2023-09-04,435.11
764,523,2023-09-11,477.25
765,523,2023-09-18,389.42
766,523,2023-09-25,263.59
767,523,2023-10-02,444.14
768,523,2023-10-09,352.4
769,523,2023-10-16,101.11
770,523,2023-10-23,474.12
771,523,2023-10-30,285.17
772,523,2023-11-06,169.74
773,523,2023-11-13,173.2
774,523,2023-11-20,236.49
775,523,2023-11-27,117.0
776,523,2023-12-04,222.2
777,523,2023-12-11,136.46
778,523,2023-12-18,180.77
779,523,2023-12-25,107.22
780,500,2021-01-04,372.4
781,500,2021-01-11,330.24
782,500,2021-01-18,136.87
783,500,2021-01-25,410.16
784,500,2021-02-01,375.22
785,500,2021-02-08,161.76
786,500,2021-02-15,116.56
787,500,2021-02-22,154.02
788,500,2021-03-01,146.76
789,500,2021-03-08,344.14
790,500,2021-03-15,120.49
791,500,2021-03-22,224.38
792,500,2021-03-29,243.61
793,500,2021-04-05,134.28
794,500,2021-04-12,237.31
795,500,2021-04-19,326.49
796,500,2021-04-26,228.88
797,500,2021-05-03,472.27
798,500,2021-05-10,214.38
799,500,2021-05-17,360.38
800,500,2021-05-24,315.48
801,500,2021-05-31,250.07
802,500,2021-06-07,487.55
803,500,2021-06-14,443.57
804,500,2021-06-21,180.27
805,500,2021-06-28,488.99
806,500,2021-07-05,107.64
807,500,2021-07-12,104.33
808,500,2021-07-19,138.17
809,500,2021-07-26,242.26
810,500,2021-08-02,245.98
811,500,2021-08-09,122.33
812,500,2021-08-16,397.21
813,500,2021-08-23,228.35
814,500,2021-08-30,479.2
815,500,2021-09-06,499.29
816,500,2021-09-13,376.08
817,500,2021-09-20,146.11
818,500,2021-09-27,306.87
819,500,2021-10-04,413.9
820,500,2021-10-11,467.3
821,500,2021-10-18,270.66
822,500,2021-10-25,100.09
823,500,2021-11-01,262.73
824,500,2021-11-08,329.06
825,500,2021-11-15,144.4
826,500,2021-11-22,358.44
827,500,2021-11-29,325.08
828,500,2021-12-06,291.12
829,500,2021-12-13,316.94
830,500,2021-12-20,111.93
831,500,2021-12-27,401.15
832,500,2022-01-03,379.51
833,500,2022-01-10,180.31
834,500,2022-01-17,130.66
835,500,2022-01-24,257.06
836,500,2022-01-31,402.99
837,500,2022-02-07,258.14
838,500,2022-02-14,389.05
839,500,2022-02-21,410.57
840,500,2022-02-28,118.36
841,500,2022-03-07,258.16
842,500,2022-03-14,495.32
843,500,2022-03-21,110.52
844,500,2022-03-28,457.98
845,500,2022-04-04,146.76
846,500,2022-04-11,344.21
847,500,2022-04-18,479.9
848,500,2022-04-25,346.38
849,500,2022-05-02,176.05
850,500,2022-05-09,182.98
851,500,2022-05-16,112.06
852,500,2022-05-23,242.32
853,500,2022-05-30,333.91
854,500,2022-06-06,424.13
855,500,2022-06-13,333.09
856,500,2022-06-20,464.82
857,500,2022-06-27,376.57
858,500,2022-07-04,321.17
859,500,2022-07-11,182.42
860,500,2022-07-18,414.05
861,500,2022-07-25,221.19
862,500,2022-08-01,228.35
863,500,2022-08-08,142.41
864,500,2022-08-15,120.35
865,500,2022-08-22,282.11
866,500,2022-08-29,149.09
867,500,2022-09-05,235.44
868,500,2022-09-12,435.12
869,500,2022-09-19,231.79
870,500,2022-09-26,348.21
871,500,2022-10-03,440.38
872,500,2022-10-10,159.66
873,500,2022-10-17,478.63
874,500,2022-10-24,324.08
875,500,2022-10-31,394.26
876,500,2022-11-07,443.27
877,500,2022-11-14,411.62
878,500,2022-11-21,196.46
879,500,2022-11-28,200.43
880,500,2022-12-05,171.37
881,500,2022-12-12,178.09
882,500,2022-12-19,421.82
883,500,2022-12-26,324.16
884,500,2023-01-02,151.47
885,500,2023-01-09,223.6
886,500,2023-01-16,130.93
887,500,2023-01-23,431.11
888,500,2023-01-30,346.15
889,500,2023-02-06,165.77
890,500,2023-02-13,434.87
891,500,2023-02-20,458.79
892,500,2023-02-27,382.19
893,500,2023-03-06,299.05
894,500,2023-03-13,408.94
895,500,2023-03-20,253.31
896,500,2023-03-27,278.92
897,500,2023-04-03,271.8
898,500,2023-04-10,490.02
899,500,2023-04-17,232.14
900,500,2023-04-24,298.61
901,500,2023-05-01,454.5
902,500,2023-05-08,134.18
903,500,2023-05-15,215.87
904,500,2023-05-22,400.43
905,500,2023-05-29,395.35
906,500,2023-06-05,322.77
907,500,2023-06-12,377.85
908,500,2023-06-19,213.44
909,500,2023-06-26,359.25
910,500,2023-07-03,119.0
911,500,2023-07-10,494.24
912,500,2023-07-17,356.12
913,500,2023-07-24,171.74
914,500,2023-07-31,388.53
915,500,2023-08-07,355.72
916,500,2023-08-14,485.71
917,500,2023-08-21,215.58
918,500,2023-08-28,122.54
919,500,2023-09-04,173.32
920,500,2023-09-11,267.51
921,500,2023-09-18,195.01
922,500,2023-09-25,397.31
923,500,2023-10-02,119.01
924,500,2023-10-09,151.45
925,500,2023-10-16,223.45
926,500,2023-10-23,324.11
927,500,2023-10-30,216.73
928,500,2023-11-06,324.68
929,500,2023-11-13,224.59
930,500,2023-11-20,404.0
